mmsi,longitude,latitude,sog_now,sog_prev,delta_sog,distance_nm,time_gap_hours,implied_speed_knots,cog,base_date_time,dbscan_behavior_label
367777460,-82.56345,27.63535,0.0,0.0,0.0,0.0006004046073034574,0.019444444444444445,0.03087795123274924,265.0,2025-06-30 00:01:19,0
367192940,-118.32248,33.34422,0.1,0.1,0.0,0.0,0.022222222222222223,0.0,331.8,2025-06-30 00:01:20,0
368170240,-91.12372,30.2397,0.0,0.0,0.0,0.0007934360292098112,0.0225,0.035263823520436055,7.0,2025-06-30 00:01:29,0
368334430,-89.99848,29.6458,0.0,0.0,0.0,0.0007954702981183673,0.016944444444444446,0.04694578808567413,268.3,2025-06-30 00:01:05,0
366961419,-90.32677,38.1838,5.1,5.0,0.09999999999999964,0.09881742869247438,0.019166666666666665,5.155691931781273,309.3,2025-06-30 00:01:12,0
367028780,-93.28349,29.67717,0.4,0.9,-0.5,0.004163095333627381,0.019444444444444445,0.21410204572940816,174.5,2025-06-30 00:01:14,0
367323610,-123.38498,46.19953,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,24.6,2025-06-30 00:01:15,0
367327630,-96.27032,28.51809,5.6,5.6,0.0,0.1076994505167526,0.019166666666666665,5.619101766091441,229.0,2025-06-30 00:01:30,0
316001731,-123.08935,49.20012,0.0,0.0,0.0,0.003929386055385317,0.0225,0.17463938023934744,11.1,2025-06-30 00:01:32,0
538002113,-116.72443,29.78832,12.3,12.3,0.0,0.24375869564758923,0.019444444444444445,12.536161490447446,163.0,2025-06-30 00:01:27,0
368243880,-97.23574,27.85108,0.0,0.0,0.0,0.00160286557897474,0.01972222222222222,0.08127205752547978,72.5,2025-06-30 00:01:14,0
368084140,-90.8804,30.06262,0.5,0.6,-0.09999999999999998,0.009099115589339983,0.019166666666666665,0.47473646553078175,216.7,2025-06-30 00:01:15,0
368184050,-122.28207,38.1224,0.0,0.0,0.0,0.0012903653070450026,0.01972222222222222,0.06542697331495788,,2025-06-30 00:01:16,0
246596000,-67.45426,17.89306,9.5,9.5,0.0,0.18540078797742734,0.019444444444444445,9.534897667410549,325.8,2025-06-30 00:01:18,0
368272520,-95.09584,29.78562,0.0,0.0,0.0,0.0,0.019444444444444445,0.0,331.2,2025-06-30 00:01:19,0
367521570,-76.16904,37.24256,7.7,7.7,0.0,0.1495038033411481,0.019444444444444445,7.688767028973331,179.9,2025-06-30 00:01:16,0
316009165,-123.03557,49.20143,0.0,0.0,0.0,0.006708494883066817,0.0225,0.298155328136303,247.7,2025-06-30 00:01:39,0
338327000,-72.00276,41.27891,0.0,0.0,0.0,0.0018568683951728174,0.021944444444444444,0.0846167876281284,,2025-06-30 00:01:33,0
316005496,-123.10083,49.19831,0.0,0.0,0.0,0.0,0.024722222222222222,0.0,,2025-06-30 00:01:33,0
367421990,-118.22068,33.753,0.0,0.0,0.0,0.0011650284301594467,0.021944444444444444,0.05308990314650643,231.1,2025-06-30 00:01:28,0
367744990,-91.80591,29.01763,2.6,2.8,-0.19999999999999973,0.05947780104911837,0.021666666666666667,2.7451292791900785,131.0,2025-06-30 00:01:28,0
